# SP1500 fetch failures — generated 2026-05-08T14:56:33
# Format: TICKER  REASON

## Hard failures (no price data — likely delisted / wrong symbol)
(none)

## Limited-history IPOs (valid data, but price starts after the min cutoff — usable for validation + late training, not for early-training features)
ABNB        first trading day: 2020-12-10
ACI         first trading day: 2020-06-26
SDGR        first trading day: 2020-02-06

## Partial — price OK but missing one or more non-price datasets
ACT         missing: earnings
ADAM        missing: earnings
ADBE        missing: earnings
ADC         missing: earnings
ADEA        missing: earnings
ADI         missing: earnings
ADM         missing: earnings
ADMA        missing: earnings
ADNT        missing: earnings
ADP         missing: earnings
ADSK        missing: earnings
ADT         missing: earnings
ADUS        missing: earnings
AEE         missing: earnings
AEIS        missing: earnings
AEO         missing: earnings
AEP         missing: earnings
AES         missing: earnings
AESI        missing: earnings
AFG         missing: earnings
AFL         missing: earnings
AGCO        missing: earnings
AGO         missing: earnings
AGX         missing: earnings
AGYS        missing: earnings
AHCO        missing: earnings
AHR         missing: earnings
AIG         missing: earnings
AIN         missing: earnings
AIR         missing: earnings
AIT         missing: earnings
AIZ         missing: earnings
AJG         missing: earnings
AKAM        missing: earnings
AKR         missing: earnings
ALB         missing: earnings
ALG         missing: earnings
ALGM        missing: earnings
ALGN        missing: earnings
ALGT        missing: earnings
ALK         missing: earnings
ALKS        missing: earnings
ALL         missing: earnings
ALLE        missing: earnings
ALLY        missing: earnings
ALRM        missing: earnings
ALV         missing: earnings
AM          missing: earnings
AMAT        missing: earnings
AMCR        missing: earnings
AMD         missing: earnings
AME         missing: earnings
AMG         missing: earnings
AMGN        missing: earnings
AMH         missing: earnings
AMKR        missing: earnings
AMN         missing: earnings
AMP         missing: earnings
AMPH        missing: earnings
AMR         missing: earnings
AMRX        missing: earnings
AMSF        missing: earnings
AMT         missing: earnings
AMTM        missing: earnings
AMWD        missing: earnings
AMZN        missing: earnings
AN          missing: earnings
ANDE        missing: earnings
ANET        missing: earnings
ANF         missing: earnings
ANIP        missing: earnings
AON         missing: earnings
AORT        missing: earnings
AOS         missing: earnings
AOSL        missing: earnings
APA         missing: earnings
APAM        missing: earnings
APD         missing: earnings
APG         missing: earnings
APH         missing: earnings
APLE        missing: earnings
APLS        missing: earnings
APOG        missing: earnings
APP         missing: earnings
APPF        missing: earnings
APTV        missing: earnings
AR          missing: earnings
ARCB        missing: earnings
ARE         missing: earnings
ARI         missing: earnings
ARLO        missing: earnings
ARM         missing: earnings
ARMK        missing: earnings
AROC        missing: earnings
ARR         missing: earnings
ARW         missing: earnings
ARWR        missing: earnings
ASB         missing: earnings
ASGN        missing: earnings
ASH         missing: earnings
ASML        missing: earnings
ASO         missing: earnings
ASTH        missing: earnings
ATEN        missing: earnings
ATI         missing: earnings
ATMU        missing: earnings
ATO         missing: earnings
ATR         missing: earnings
AUB         missing: earnings
AVA         missing: earnings
AVAV        missing: earnings
AVGO        missing: earnings
AVNS        missing: earnings
AVNT        missing: earnings
AVT         missing: earnings
AVTR        missing: earnings
AVY         missing: earnings
AWI         missing: earnings
AWK         missing: earnings
AWR         missing: earnings
AX          missing: earnings
AXP         missing: earnings
AXTA        missing: earnings
AYI         missing: earnings
AZN         missing: earnings
AZO         missing: earnings
AZTA        missing: earnings
AZZ         missing: earnings
BA          missing: earnings
BAC         missing: earnings
BAH         missing: earnings
BANC        missing: earnings
BANF        missing: earnings
BANR        missing: earnings
BAX         missing: earnings
BBT         missing: earnings
BBWI        missing: earnings
BBY         missing: earnings
BC          missing: earnings
BCC         missing: earnings
BCO         missing: earnings
BCPC        missing: earnings
BDC         missing: earnings
BDX         missing: earnings
BEN         missing: earnings
BFH         missing: earnings
BFS         missing: earnings
BG          missing: earnings
BGC         missing: earnings
BHE         missing: earnings
BHF         missing: earnings
BIIB        missing: earnings
BILL        missing: earnings
BIO         missing: earnings
BJ          missing: earnings
BJRI        missing: earnings
BK          missing: earnings
BKE         missing: earnings
BKH         missing: earnings
BKNG        missing: earnings
BKU         missing: earnings
BL          missing: earnings
BLD         missing: earnings
BLDR        missing: earnings
BLFS        missing: earnings
BLK         missing: earnings
BLKB        missing: earnings
BMI         missing: earnings
BMRN        missing: earnings
BMY         missing: earnings
BNL         missing: earnings
BOH         missing: earnings
BOOT        missing: earnings
BOX         missing: earnings
BR          missing: earnings
BRBR        missing: earnings
BRC         missing: earnings
BRK-B       missing: earnings
BRKR        missing: earnings
BRO         missing: earnings
BROS        missing: earnings
BRX         missing: earnings
BSX         missing: earnings
BSY         missing: earnings
BTSG        missing: earnings
BTU         missing: earnings
BURL        missing: earnings
BWA         missing: earnings
BWXT        missing: earnings
BX          missing: earnings
BXMT        missing: earnings
BXP         missing: earnings
BYD         missing: earnings
C           missing: earnings
CABO        missing: earnings
CACI        missing: earnings
CAG         missing: earnings
CAH         missing: earnings
CAKE        missing: earnings
CALM        missing: earnings
CALX        missing: earnings
CALY        missing: earnings
CAR         missing: earnings
CARG        missing: earnings
CARR        missing: earnings
CART        missing: earnings
CASH        missing: earnings
CAT         missing: earnings
CATY        missing: earnings
CAVA        missing: earnings
CB          missing: earnings
CBOE        missing: earnings
CBRE        missing: earnings
CBRL        missing: earnings
CBSH        missing: earnings
CBT         missing: earnings
CBU         missing: earnings
CC          missing: earnings
CCI         missing: earnings
CCK         missing: earnings
CCL         missing: earnings
CCOI        missing: earnings
CCS         missing: earnings
CDNS        missing: earnings
CDP         missing: earnings
CDW         missing: earnings
CE          missing: earnings
CEG         missing: earnings
CELH        missing: earnings
CENT        missing: earnings
CENTA       missing: earnings
CENX        missing: earnings
CERT        missing: earnings
CF          missing: earnings
CFFN        missing: earnings
CFG         missing: earnings
CFR         missing: earnings
CG          missing: earnings
CHCO        missing: earnings
CHD         missing: earnings
CHDN        missing: earnings
CHE         missing: earnings
CHEF        missing: earnings
CHH         missing: earnings
CHRD        missing: earnings
CHTR        missing: earnings
CHWY        missing: earnings
CI          missing: earnings
CINF        missing: earnings
CL          missing: earnings
CLB         missing: earnings
CLF         missing: earnings
CLH         missing: earnings
CLSK        missing: earnings
CLX         missing: earnings
CMC         missing: earnings
CMCSA       missing: earnings
CME         missing: earnings
CMG         missing: earnings
CMI         missing: earnings
CMS         missing: earnings
CNC         missing: earnings
CNH         missing: earnings
CNK         missing: earnings
CNM         missing: earnings
CNMD        missing: earnings
CNO         missing: earnings
CNP         missing: earnings
CNR         missing: earnings
CNS         missing: earnings
CNX         missing: earnings
CNXC        missing: earnings
CNXN        missing: earnings
COCO        missing: earnings
COF         missing: earnings
COHU        missing: earnings
COIN        missing: earnings
COKE        missing: earnings
COLB        missing: earnings
COLL        missing: earnings
COLM        missing: earnings
CON         missing: earnings
COO         missing: earnings
COP         missing: earnings
COR         missing: earnings
CORT        missing: earnings
COST        missing: earnings
COTY        missing: earnings
CPAY        missing: earnings
CPB         missing: earnings
CPF         missing: earnings
CPK         missing: earnings
CPRI        missing: earnings
CPRT        missing: earnings
CPRX        missing: earnings
CPT         missing: earnings
CR          missing: earnings
CRBG        missing: earnings
CRC         missing: earnings
CRGY        missing: earnings
CRI         missing: earnings
CRK         missing: earnings
CRL         missing: earnings
CRM         missing: earnings
CROX        missing: earnings
CRS         missing: earnings
CRSR        missing: earnings
CRUS        missing: earnings
CRVL        missing: earnings
CRWD        missing: earnings
CSCO        missing: earnings
CSGP        missing: earnings
CSGS        missing: earnings
CSL         missing: earnings
CSR         missing: earnings
CSW         missing: earnings
CSX         missing: earnings
CTKB        missing: earnings
CTRA        missing: earnings
CTRE        missing: earnings
CTS         missing: earnings
CTVA        missing: earnings
CUBE        missing: earnings
CUBI        missing: earnings
CURB        missing: earnings
CUZ         missing: earnings
